Focus Group,Pain Point,processed_content,label,VADER,Business Score,processed_pain_points
BAA BAA Ops,Additional Workflow Actions: Add more dropdown and action options for common BAA tasks.,additional workflow action add dropdown action option common baa task,neutral,0.0,0,additional workflow action add dropdown action option common baa task
BAA BAA Ops,Improved Ticket Visibility: Show cases with open violations or fines without opening each individual record.,improved ticket visibility show case open violation fine without opening individual record,positive,-0.0772,0,improved ticket visibility show case open violation fine without opening individual record
BAA BAA Ops,Improved Document Workflow: Reduce manual editing and PDF conversion when preparing decisions.,improved document workflow reduce manual editing pdf conversion preparing decision,positive,0.4767,-3,improved document workflow reduce manual editing pdf conversion preparing decision
BAA BAA Ops,Better Organization: Make IPS cleaner and more organized for day-to-day processing.,better organization make ip cleaner organized processing,positive,0.5574,0,better organization make ip cleaner organized processing
DOCE Housing Inspectors,System Freezing: IPS frequently freezes or experiences loading delays.,system freezing ip frequently freeze experience loading delay,negative,-0.128,-2,system freezing ip frequently freeze experience loading delay
DOCE Housing Inspectors,Slow Performance: Opening cases and completing actions can be slow.,slow performance opening case completing action slow,neutral,0.0,-2,slow performance opening case completing action slow
DOCE Housing Inspectors,System Shutdowns: IPS occasionally requires restarts or intervention to function properly.,system shutdown ip occasionally requires restarts intervention function properly,neutral,0.0,0,system shutdown ip occasionally requires restarts intervention function properly
DOCE Housing Inspectors,Remote Access Issues: Difficulties connecting to IPS remotely from the field.,remote access issue difficulty connecting ip remotely field,negative,-0.296,-5,remote access issue difficulty connecting ip remotely field
DOCE Housing Inspectors,No Global Case View: Difficult to review all active and closed cases associated with a property.,global case view difficult review active closed case associated property,positive,-0.25,-3,global case view difficult review active closed case associated property
DOCE Housing Inspectors,Case Navigation Complexity: Navigating cases requires extensive system knowledge and experience.,case navigation complexity navigating case requires extensive system knowledge experience,neutral,0.0,0,case navigation complexity navigating case requires extensive system knowledge experience
DOCE Housing Inspectors,Too Many Actions: Large numbers of actions and dropdown options create inefficiencies.,many action large number action dropdown option create inefficiency,positive,0.2732,0,many action large number action dropdown option create inefficiency
DOCE Housing Inspectors,"No Case Categorization: Cases cannot easily be categorized by status such as drive-by inspections, waiting on owners, or follow-up activities.",case categorization case easily categorized status inspection waiting owner activity,positive,-0.5,-3,case categorization case easily categorized status inspection waiting owner activity
DOCE Housing Inspectors,No Automated Case Monitoring: Difficult to identify cases lacking inspection dates or pending reviews.,automated case monitoring difficult identify case lacking inspection date pending review,negative,-0.5719,-3,automated case monitoring difficult identify case lacking inspection date pending review
DOCE Housing Inspectors,Ownership / Property Research,ownership property research,neutral,0.0,-2,ownership property research
DOCE Housing Inspectors,Ownership Information Issues: Ownership information is not always updated consistently.,ownership information issue ownership information always updated consistently,neutral,0.0,-2,ownership information issue ownership information always updated consistently
DOCE Housing Inspectors,Address Management Problems: Address changes do not automatically update across all cases.,address management problem address change automatically update across case,negative,-0.4019,-2,address management problem address change automatically update across case
DOCE Housing Inspectors,No Unified Address Book: Property and ownership information can vary between systems.,unified address book property ownership information vary system,positive,0.1027,0,unified address book property ownership information vary system
DOCE Housing Inspectors,Lead Map Accessibility: Lead-risk information is not readily available within cases.,lead map accessibility information readily available within case,neutral,0.0,0,lead map accessibility information readily available within case
DOCE Housing Inspectors,Limited Water Information Access: Water records are not available directly in IPS.,limited water information access water record available directly ip,negative,-0.2263,-2,limited water information access water record available directly ip
DOCE Housing Inspectors,Information Fragmentation: Important information exists in multiple systems and locations.,information fragmentation important information exists multiple system location,positive,0.2023,-2,information fragmentation important information exists multiple system location
DOCE Housing Inspectors,Limited Field Access: Inspectors cannot fully access or update IPS while in the field.,limited field access inspector fully access update ip field,negative,-0.2263,-5,limited field access inspector fully access update ip field
DOCE Housing Inspectors,Photo Upload Process: Uploading and organizing photos is cumbersome.,photo upload process uploading organizing photo cumbersome,neutral,0.0,0,photo upload process uploading organizing photo cumbersome
DOCE Housing Inspectors,No Mobile Workflow: Inspectors must often return to the office to complete documentation.,mobile workflow inspector must often return office complete documentation,neutral,-0.296,0,mobile workflow inspector must often return office complete documentation
DOCE Housing Inspectors,No Laptop Access: Limited ability to update cases during inspections.,laptop access limited ability update case inspection,positive,-0.2023,-2,laptop access limited ability update case inspection
DOCE Housing Inspectors,"Too Many Systems: Inspectors must use IPS, AS400, GIS, Outlook, Dropbox, spreadsheets, lead maps, and external databases.",many system inspector must use ip gi outlook dropbox spreadsheet lead map external database,neutral,0.0,0,many system inspector must use ip gi outlook dropbox spreadsheet lead map external database
DOCE Housing Inspectors,"Repeated Research: Ownership, water, and lead information require separate searches.",repeated research ownership water lead information require separate search,neutral,0.0,-2,repeated research ownership water lead information require separate search
DOCE Housing Inspectors,No Single Source of Truth: Property information is spread across multiple applications.,single source truth property information spread across multiple application,positive,0.0258,-2,single source truth property information spread across multiple application
DOCE Housing Inspectors,Shared Data Issues: Information entered by multiple users can create delays or confusion.,shared data issue information entered multiple user create delay confusion,neutral,0.3182,-6,shared data issue information entered multiple user create delay confusion
DOCE Housing Inspectors,Address Updates: Address corrections are not consistently communicated throughout systems.,address update address correction consistently communicated throughout system,neutral,0.0,0,address update address correction consistently communicated throughout system
DOCE Housing Inspectors,Manual Tracking: Inspectors maintain spreadsheets and notes to manage workloads.,manual tracking inspector maintain spreadsheet note manage workload,neutral,0.0,-3,manual tracking inspector maintain spreadsheet note manage workload
DOCE Housing Inspectors,Lead Map Verification: Frequent manual checking of lead maps.,lead map verification frequent manual checking lead map,neutral,0.0,-3,lead map verification frequent manual checking lead map
DOCE Housing Inspectors,Violation Entry Delays: Simultaneous data entry can slow violation processing.,violation entry delay simultaneous data entry slow violation processing,negative,-0.7506,-4,violation entry delay simultaneous data entry slow violation processing
DOCE Housing Inspectors,Large Dropdown Lists: Long dropdown menus make data entry inefficient.,large dropdown list long dropdown menu make data entry inefficient,neutral,0.0,0,large dropdown list long dropdown menu make data entry inefficient
DOCE Housing Inspectors,Case Organization Difficulties: Difficult to distinguish between different case types and statuses.,case organization difficulty difficult distinguish different case type status,negative,-0.5719,-3,case organization difficulty difficult distinguish different case type status
