expectations,department,focus_group,source,final_category,sentiment,Category,Category_Confidence,Category_Method,Cluster_Label,Cluster,Cluster_Size,Cluster_Purity,Cluster_Purity_Adj,Category_Confidence,Category_Confidence_Norm,Assign_Status
"(to keep) Date management: change, modify, date",DOCE,Zoning,worksheet,Scheduling & Resource Management,neutral,Scheduling & Resource Management,2.379705399274826,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,2.379705399274826,0.23777793110424575,HDBSCAN cluster
(to keep) List of application history,DOCE,Zoning,worksheet,Data Management & Visibility,positive,Data Management & Visibility,2.0,keyword_low,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Status overview dashboard,DOCE,Zoning,worksheet,Scheduling & Resource Management,positive,Reporting & Decision Support,5.420246809720993,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,5.420246809720993,0.5415859765173412,HDBSCAN cluster
(to keep) Comment summary sheet,DOCE,Zoning,worksheet,Communication & Collaboration,neutral,Communication & Collaboration,3.0,keyword_low,Records & Document Management,7,30,0.3,0.2841269841269841,3.0,0.29975718571303545,HDBSCAN cluster
(to keep) Data management: change & modify,DOCE,Zoning,worksheet,Data Management & Visibility,positive,Data Management & Visibility,2.4516235291957855,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,2.4516235291957855,0.24496392317986285,HDBSCAN cluster
(to keep) List of application history: date,DOCE,Zoning,worksheet,Data Management & Visibility,positive,Data Management & Visibility,2.0,keyword_low,Data Management & Visibility,10,12,0.6666666666666666,0.49564270152505446,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Status overview dashboard,DOCE,Zoning,worksheet,Scheduling & Resource Management,positive,Reporting & Decision Support,5.420246809720993,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,5.420246809720993,0.5415859765173412,HDBSCAN cluster
(to keep) The tickle date function seems to be valuable,FPB,Fire,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,7.214261040091515,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,7.214261040091515,0.7208421954590095,HDBSCAN cluster
(to keep) Finding the history of a property or business takes several steps,FPB,Fire,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,4.0,keyword,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,4.0,0.39967624761738063,HDBSCAN cluster
IPS on mobile devices. Real time inspection reports and documentation. Integrate IPS violations into other Fire Department functions,FPB,Fire,worksheet,Case Management,neutral,Case Management,8.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,8.0,0.7993524952347613,HDBSCAN cluster
Import information like exact CO and capacity available without digging,FPB,Fire,worksheet,Data Management & Visibility,negative,Data Management & Visibility,3.0,keyword_low,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,3.0,0.29975718571303545,HDBSCAN cluster
Have a more profound way of finding information,FPB,Fire,worksheet,Data Management & Visibility,positive,Data Management & Visibility,3.277507334947586,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,3.277507334947586,0.32748545829257314,HDBSCAN cluster
Make it one way to document different people do thing differently and put in different places,FPB,Fire,worksheet,Records & Document Management,positive,Records & Document Management,0.43611642718315125,semantic,Records & Document Management,7,30,0.3,0.2841269841269841,0.43611642718315125,0.043576344285215125,HDBSCAN cluster
Fix this! Make sure they are active in IPS,FPB,Fire,worksheet,System Integration,negative,System Integration,0.08471512049436569,semantic_fallback,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.08471512049436569,0.008464655368910584,HDBSCAN cluster
The format makes it hard to read everything at once,Law,Law,worksheet,User Experience & Performance,negative,User Experience & Performance,0.2361341118812561,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.2361341118812561,0.023594298942790793,HDBSCAN cluster
(to keep) I like the images tab so I can look at the notices directly,Law,Law,worksheet,Records & Document Management,neutral,Records & Document Management,4.253848344087601,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,4.253848344087601,0.4250405360245851,HDBSCAN cluster
Integrate water records into recordkeeping tools,Law,Law,worksheet,Records & Document Management,positive,Records & Document Management,7.426205962896347,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,7.426205962896347,0.7420195333210572,HDBSCAN cluster
Require confirmation that documents were uploaded and work was done,Law,Law,worksheet,Records & Document Management,negative,Records & Document Management,4.318058371543884,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,4.318058371543884,0.43145634173286923,HDBSCAN cluster
Make overview reports available for properties,Law,Law,worksheet,Reporting & Decision Support,negative,Reporting & Decision Support,8.380859911441803,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,8.380859911441803,0.8374076603029982,HDBSCAN cluster
(to keep) Intuitive interface,Law,Law,worksheet,User Experience & Performance,negative,User Experience & Performance,5.2923590540885925,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,5.2923590540885925,0.5288075519454997,HDBSCAN cluster
(to keep) Easy to find individual complaints,Law,Law,worksheet,Case Management,neutral,Case Management,8.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,8.0,0.7993524952347613,HDBSCAN cluster
Compatibility with office,Law,Law,worksheet,User Experience & Performance,positive,User Experience & Performance,0.2965890169143677,semantic_fallback,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,0.2965890169143677,0.029634896341215577,HDBSCAN cluster
More disciplinary entry of notes and documents,Law,Law,worksheet,Records & Document Management,negative,Records & Document Management,10.511019051074982,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,10.511019051074982,1.0,HDBSCAN cluster
(to keep) When fully utilized by codes it is a resource for information,Law,Law,worksheet,Training & Documentation,positive,Training & Documentation,0.40776053071022034,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.40776053071022034,0.04074304971018314,HDBSCAN cluster
Ability for IPS information to be transferred to MS word,Law,Law,worksheet,Data Management & Visibility,positive,Data Management & Visibility,3.0,keyword_low,System Integration,2,34,0.4117647058823529,0.37132003798670465,3.0,0.29975718571303545,HDBSCAN cluster
"Process mapping & SOPS, system training & support",NBD,NBD Data Team,worksheet,Training & Documentation,positive,Training & Documentation,17.526894986629486,keyword_semantic_agree,Training & Documentation,15,17,0.35294117647058826,0.2798821548821549,17.526894986629486,1.0,HDBSCAN cluster
(to keep) RPS to IPS assessment sync daily: always have current ownership information,NBD,NBD Data Team,worksheet,Data Management & Visibility,negative,Data Management & Visibility,3.0,keyword_low,System Integration,2,34,0.4117647058823529,0.37132003798670465,3.0,0.29975718571303545,HDBSCAN cluster
(to keep) Panel based,NBD,NBD Data Team,worksheet,System Integration,neutral,System Integration,0.13105134665966034,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.13105134665966034,0.013094527619534398,HDBSCAN cluster
(to keep) Periodic module: ability to batch generate renewal letters when property comes due,NBD,NBD Data Team,worksheet,Records & Document Management,positive,Records & Document Management,6.0,keyword,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,6.0,0.5995143714260709,HDBSCAN cluster
(to keep) Backend access to our own data,NBD,NBD Data Team,worksheet,Data Management & Visibility,negative,Data Management & Visibility,0.3281165063381195,semantic,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.3281165063381195,0.03278509350863602,HDBSCAN cluster
(to keep) Based roles / permisions,NBD,NBD Data Team,worksheet,Training & Documentation,positive,Training & Documentation,0.21665771305561066,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.21665771305561066,0.021648235442857412,HDBSCAN cluster
(to keep) Workflow configuration abilities (they are limited not easy to set up),NBD,NBD Data Team,worksheet,Workflow & Business Processes,positive,Workflow & Business Processes,5.485175400972366,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,5.485175400972366,0.5480735804459491,HDBSCAN cluster
(to keep) New record type configuration abilities / “maintenance” menu,NBD,NBD Data Team,worksheet,Records & Document Management,negative,Records & Document Management,3.301586836576462,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,3.301586836576462,0.3298914595064546,HDBSCAN cluster
(to keep) “one stop shop” for property records (pre-camino),NBD,NBD Data Team,worksheet,Records & Document Management,negative,Records & Document Management,7.494286447763443,keyword_semantic_agree,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,7.494286447763443,0.7488220715029704,HDBSCAN cluster
"(to keep) Zoning, Codes, Permits, Fire",NBD,NBD Data Team,worksheet,Case Management,positive,Case Management,8.0,keyword,Case Management,12,21,0.42857142857142855,0.37891737891737887,8.0,0.7993524952347613,HDBSCAN cluster
Imporved case management tools for users: ability to finding upcoming unclosed so routes can be planned more ethuinituly,NBD,NBD Data Team,worksheet,Case Management,positive,Case Management,7.450934112071991,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,7.450934112071991,0.7444903467893182,HDBSCAN cluster
"High level front-end reporting capabilities for leadership – compliance, on building block log cases, time to resolve, cases infor updates in x makes, etc",NBD,NBD Data Team,worksheet,Case Management,positive,Case Management,4.0,keyword,Records & Document Management,7,30,0.3,0.2841269841269841,4.0,0.39967624761738063,HDBSCAN cluster
Direct scheduling for applicants! Ontwok integration,NBD,NBD Data Team,worksheet,Scheduling & Resource Management,negative,Scheduling & Resource Management,10.34534803032875,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,10.34534803032875,1.0,HDBSCAN cluster
"Usability or monthly quick links to other systems – AS400, Camino",NBD,NBD Data Team,worksheet,System Integration,positive,System Integration,4.4990792870521545,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.4990792870521545,0.4495437817955213,HDBSCAN cluster
Have cleaner sorting and filtering features within a parcel,NBD,NBD Data Team,worksheet,Records & Document Management,negative,Records & Document Management,5.186137557029724,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,5.186137557029724,0.5181939996053023,HDBSCAN cluster
Add insert / update / delete functionality,NBD,NBD Data Team,worksheet,Records & Document Management,negative,Records & Document Management,0.30381572246551514,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.30381572246551514,0.030356981980545154,HDBSCAN cluster
Have them be a component of main parcel?,NBD,NBD Data Team,worksheet,Records & Document Management,negative,Records & Document Management,3.0,keyword_low,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,3.0,0.29975718571303545,HDBSCAN cluster
(to keep) Ability to pull data with SQL,NBD,NBD Data Team,worksheet,Case Management,positive,Data Management & Visibility,2.4443092942237854,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,2.4443092942237854,0.24423309168291263,HDBSCAN cluster
Easier way to modify violations.,NBD,NBD Data Team,worksheet,Case Management,negative,Case Management,6.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.0,0.5995143714260709,HDBSCAN cluster
For sorting and categorizing,NBD,NBD Data Team,worksheet,Records & Document Management,neutral,Records & Document Management,0.40509095788002014,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.40509095788002014,0.04047630849730421,HDBSCAN cluster
Updating IPS through SQL,NBD,NBD Data Team,worksheet,System Integration,negative,System Integration,0.24767720699310303,semantic_fallback,System Integration,2,34,0.4117647058823529,0.37132003798670465,0.24767720699310303,0.02474767417783917,HDBSCAN cluster
Easier complaint search on parcel view,NBD,NBD Data Team,worksheet,Case Management,negative,Case Management,4.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,4.0,0.39967624761738063,HDBSCAN cluster
Violations summary & units affected,NBD,NBD Data Team,worksheet,Case Management,neutral,Case Management,6.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.0,0.5995143714260709,HDBSCAN cluster
"Being able to post to the database (eg, to flag a batch of parcels as vacant once a week)",NBD,NBD Data Team,worksheet,Data Management & Visibility,positive,Data Management & Visibility,4.0,keyword,Noise / unclustered,-1,17,,,4.0,0.39967624761738063,Unclustered
"More robust automation or scripting possibilities, so that more updates or QA/QC can be automated",NBD,NBD Data Team,worksheet,System Integration,positive,System Integration,0.348300039768219,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.348300039768219,0.034801813234886556,HDBSCAN cluster
"Allow for if this then that bridges between programs, integrations with a CRM or GIS software, etc",NBD,NBD Data Team,worksheet,System Integration,positive,System Integration,2.5890873670578003,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,2.5890873670578003,0.25869918090480637,HDBSCAN cluster
"I'm not sure the best improvement here, but tracking residential units and which complaint goes to which unit is so frustrating",NBD,NBD Data Team,worksheet,Case Management,negative,Case Management,4.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,4.0,0.39967624761738063,HDBSCAN cluster
The ability to configure validation for different data fields,NBD,NBD Data Team,worksheet,Data Management & Visibility,positive,Data Management & Visibility,2.244528502225876,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,2.244528502225876,0.2242711823599744,HDBSCAN cluster
"(to keep) Customizability for actions, attributes, etc. (eg, “Rental Registry Required”)",NBD,NBD Data Team,worksheet,User Experience & Performance,negative,User Experience & Performance,8.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,8.0,0.7993524952347613,HDBSCAN cluster
(to keep) Approval groups so that case management & review happens in the same system,NBD,NBD Data Team,worksheet,Case Management,negative,Case Management,7.435626715421677,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,7.435626715421677,0.7429608460758211,HDBSCAN cluster
I want better documentation for the database. We don't have any robust EO diagrams!,NBD,NBD Data Team,worksheet,Training & Documentation,positive,Training & Documentation,5.444919019937515,keyword_semantic_agree,Records & Document Management,7,30,0.3,0.2841269841269841,5.444919019937515,0.544051200617283,HDBSCAN cluster
"Please, let's have modern scripting options (eg, Python not Visual Basic; posting to the database)",NBD,NBD Data Team,worksheet,Data Management & Visibility,negative,Data Management & Visibility,4.0,keyword,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,4.0,0.39967624761738063,HDBSCAN cluster
"If the new software could integrate with Esri, a contact management software (like Salesforce), or other tools, we could accomplish so much more",NBD,NBD Data Team,worksheet,System Integration,negative,System Integration,2.4419219195842743,keyword_semantic_agree,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,2.4419219195842743,0.24399454744851845,HDBSCAN cluster
Might be a bug,NBD,NBD Internal,worksheet,User Experience & Performance,negative,User Experience & Performance,6.060388922691345,keyword_semantic_agree,Noise / unclustered,-1,17,,,6.060388922691345,0.6055483759308041,Unclustered
A drop down for ERP referrals to indicate where the referral came,NBD,NBD Internal,worksheet,Case Management,negative,Case Management,5.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,5.0,0.49959530952172576,HDBSCAN cluster
Build system with drop down selection of where the referred came from to start documenting which agency placed them.,NBD,NBD Internal,worksheet,Records & Document Management,negative,Records & Document Management,0.38814669847488403,semantic,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,0.38814669847488403,0.03878325399287913,HDBSCAN cluster
Something tangible that can get auto emailed to ambassadors,NBD,NBD Internal,worksheet,Communication & Collaboration,positive,Communication & Collaboration,0.26887762546539307,semantic_fallback,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,0.26887762546539307,0.026866000103569942,HDBSCAN cluster
(to keep) Allow all users to leave notes “codes staff notes”,NBD,NBD Internal,worksheet,Records & Document Management,positive,Records & Document Management,6.0,keyword,Records & Document Management,7,30,0.3,0.2841269841269841,6.0,0.5995143714260709,HDBSCAN cluster
Geographic viewing of addresses nearby.,NBD,NBD Internal,worksheet,Records & Document Management,negative,Records & Document Management,2.2399232983589172,keyword_semantic_agree,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,2.2399232983589172,0.22381103470970964,HDBSCAN cluster
Data sharing / backend access with county,NBD,NBD Internal,worksheet,Workflow & Business Processes,negative,Workflow & Business Processes,2.0,keyword_low,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Interdepartmental access,NBD,NBD Internal,worksheet,Communication & Collaboration,positive,Communication & Collaboration,0.4276626706123352,semantic,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.4276626706123352,0.042731652859091494,HDBSCAN cluster
Ways to mass enter data not through Hamer,NBD,NBD Internal,worksheet,Data Management & Visibility,negative,Data Management & Visibility,2.0,keyword_low,Noise / unclustered,-1,17,,,2.0,0.19983812380869032,Unclustered
"eTax, IPS, AS400, Camino, etc. Too many to consolidate. Should be easier to access information from standard site",NBD,NBD Internal,worksheet,System Integration,negative,System Integration,6.524524211883545,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,6.524524211883545,0.6519243386235907,HDBSCAN cluster
"Old permit information hasn't been transferred. They've stopped storing insurances, surveys need better record storage",NBD,NBD Internal,worksheet,Records & Document Management,positive,Records & Document Management,9.252370983362198,keyword_semantic_agree,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,9.252370983362198,0.9244882290485343,HDBSCAN cluster
Something NBD/Law /Finance can all use,NBD,NBD Internal,worksheet,Reporting & Decision Support,negative,Reporting & Decision Support,0.33057984709739685,semantic,User Experience & Performance,8,71,0.3380281690140845,0.32651072124756336,0.33057984709739685,0.03303122820645375,HDBSCAN cluster
"(to keep) Easy interface, can see whole story at once",NBD,NBD Internal,worksheet,System Integration,positive,System Integration,2.0,keyword_low,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,2.0,0.19983812380869032,HDBSCAN cluster
(to keep) Tickle dates / reminders,NBD,NBD Internal,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,12.363107115030289,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,12.363107115030289,1.0,HDBSCAN cluster
(to keep) Ability to add / remove entry option at will,NBD,NBD Internal,worksheet,System Integration,positive,System Integration,0.16243207454681396,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.16243207454681396,0.016230060511894313,HDBSCAN cluster
(to keep) Ability to pull data from multiple cases at once,NBD,NBD Internal,worksheet,Case Management,positive,Data Management & Visibility,5.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,5.0,0.49959530952172576,HDBSCAN cluster
"As far as current use of IPS – don't know what we don't know. Before today, didn't know Rental Registry was in there. Didn't have a comprehensive training. Haven't gone down rabbit hole of looking at fines. Knowing what houses have stop work orders is helpful – that would be helpful",Assessment,Assessment,meeting_notes,Training & Documentation,positive,Training & Documentation,10.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,10.0,0.9991906190434515,HDBSCAN cluster
He would be curious to know of all the stop work orders how many go an obtain a permit?,Assessment,Assessment,meeting_notes,Workflow & Business Processes,positive,Workflow & Business Processes,6.212456181645393,keyword_semantic_agree,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,6.212456181645393,0.6207427937918578,Soft-assigned
Would be interested to know of everyone that has a stop work order,Assessment,Assessment,meeting_notes,Workflow & Business Processes,positive,Workflow & Business Processes,4.2065689116716385,keyword_semantic_agree,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,4.2065689116716385,0.42031641949021226,Soft-assigned
Would be easier if IPS has building permits – forced to learn new system – [PERSON] completely depends on Joe for look ups in Camino – if we could go to one system and see everything that would be helpful,Assessment,Assessment,meeting_notes,Case Management,positive,Case Management,6.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,6.0,0.5995143714260709,HDBSCAN cluster
IPS intuitive from their perspective,Assessment,Assessment,meeting_notes,User Experience & Performance,positive,User Experience & Performance,5.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,5.0,0.49959530952172576,HDBSCAN cluster
Admin Aides and interns to do tracking to confirm service – ability to enter tracking number on each ticket and timer to set for 30 days – check tracking at USPS website and change status to yes serve and attach confirmation – ability to automate,BAA,BAA ALJs,meeting_notes,Workflow & Business Processes,positive,Workflow & Business Processes,4.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,4.0,0.39967624761738063,Soft-assigned
AIMS – way to send decisions via email to registered owner,BAA,BAA ALJs,meeting_notes,System Integration,neutral,System Integration,2.0,keyword_low,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,2.0,0.19983812380869032,HDBSCAN cluster
Email directly from application would be nice,BAA,BAA ALJs,meeting_notes,Communication & Collaboration,positive,Communication & Collaboration,0.13648824393749237,semantic_fallback,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,0.13648824393749237,0.013637777295205662,HDBSCAN cluster
"Manually record everything – ability for application record, download and save the hearings",BAA,BAA ALJs,meeting_notes,Case Management,positive,Case Management,6.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,6.0,0.5995143714260709,HDBSCAN cluster
"Way to have secure app with SSO for Codes to use on phones – if they need to upload photos or notes, they can do it on demand",BAA,BAA ALJs,meeting_notes,Records & Document Management,positive,Records & Document Management,10.162007316946983,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,10.162007316946983,1.0,HDBSCAN cluster
So they don't need to come back to the office at end of the day and do that,BAA,BAA ALJs,meeting_notes,Workflow & Business Processes,positive,Workflow & Business Processes,0.28801506757736206,semantic_fallback,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,0.28801506757736206,0.028778195366646594,HDBSCAN cluster
Internal purposes – automatic tracking for USPS,BAA,BAA ALJs,meeting_notes,Records & Document Management,positive,Records & Document Management,0.3533114194869995,semantic,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,0.3533114194869995,0.03530254559523356,Soft-assigned
"May need real human being to double check that, but getting receipts",BAA,BAA ALJs,meeting_notes,Records & Document Management,positive,Records & Document Management,0.1383347362279892,semantic_fallback,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,0.1383347362279892,0.01382227707268571,HDBSCAN cluster
Web of ownership not always as easy to unravel – but would be nice to extent possible we could see what ownership is,BAA,BAA ALJs,meeting_notes,User Experience & Performance,positive,User Experience & Performance,2.0,keyword_low,Data Management & Visibility,13,22,0.3181818181818182,0.27503429355281206,2.0,0.19983812380869032,HDBSCAN cluster
Retain – color code is a good thing,BAA,BAA ALJs,meeting_notes,User Experience & Performance,positive,User Experience & Performance,0.15498074889183044,semantic_fallback,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,0.15498074889183044,0.015485531042504578,Soft-assigned
By department and action,BAA,BAA ALJs,meeting_notes,User Experience & Performance,positive,User Experience & Performance,4.0,keyword,Training & Documentation,15,17,0.35294117647058826,0.2798821548821549,4.0,0.39967624761738063,Soft-assigned
IPS tells you which user to make a change – automatically records users,BAA,BAA ALJs,meeting_notes,Records & Document Management,positive,Records & Document Management,7.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,7.0,0.6994334333304161,HDBSCAN cluster
Need inspection to mean actual investigation,BAA,BAA ALJs,meeting_notes,Scheduling & Resource Management,positive,Scheduling & Resource Management,3.0,keyword_low,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,3.0,0.29975718571303545,HDBSCAN cluster
educe use of windows – would be helpful.,BAA,BAA ALJs,meeting_notes,User Experience & Performance,positive,User Experience & Performance,0.3737119436264038,semantic,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,0.3737119436264038,0.03734094682959979,HDBSCAN cluster
Likes MS Teams – makes it easier for hearings,BAA,BAA Operations,meeting_notes,Case Management,positive,Case Management,6.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,6.0,0.5995143714260709,HDBSCAN cluster
Attorneys and inspectors respond quickly,BAA,BAA Operations,meeting_notes,Workflow & Business Processes,neutral,Workflow & Business Processes,0.2576731741428375,semantic_fallback,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,0.2576731741428375,0.02574646183826729,HDBSCAN cluster
Would be helpful for notifications within IPS,BAA,BAA Operations,meeting_notes,Communication & Collaboration,positive,Communication & Collaboration,4.0,keyword,System Integration,2,34,0.4117647058823529,0.37132003798670465,4.0,0.39967624761738063,HDBSCAN cluster
Workflow – notify inspector of hearing date,BAA,BAA Operations,meeting_notes,Case Management,positive,Workflow & Business Processes,5.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,5.0,0.49959530952172576,HDBSCAN cluster
Helpful to be able to see inspector availability in Outlook – not all of them maintain it,BAA,BAA Operations,meeting_notes,Scheduling & Resource Management,positive,Scheduling & Resource Management,6.0,keyword,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,6.0,0.5995143714260709,HDBSCAN cluster
"Constituent access – maybe not full access, but can see legal evidence they should have access to– public facing portal",BAA,BAA Operations,meeting_notes,Records & Document Management,positive,Records & Document Management,4.3079932034015656,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,4.3079932034015656,0.43045063957417923,HDBSCAN cluster
Ability to submit documents,BAA,BAA Operations,meeting_notes,Records & Document Management,positive,Records & Document Management,4.388571083545685,keyword_semantic_agree,Records & Document Management,4,24,0.4583333333333333,0.41187739463601536,4.388571083545685,0.43850190576842035,HDBSCAN cluster
Ability to search by owner – they may call with address but not case number,BAA,BAA Operations,meeting_notes,User Experience & Performance,positive,User Experience & Performance,4.0,keyword,Records & Document Management,14,37,0.5135135135135135,0.4748677248677248,4.0,0.39967624761738063,HDBSCAN cluster
Public facing portal – explains that they should contact DOCE for the violations and the BAA for the fine – that they're too separate things – they don't know who to talk to,BAA,BAA Operations,meeting_notes,Case Management,positive,Case Management,8.246512293815613,keyword_semantic_agree,Case Management,3,14,0.5,0.4132553606237817,8.246512293815613,0.8239837723807055,HDBSCAN cluster
Ability to batch add fees – have to add one-by-one,BAA,BAA Operations,meeting_notes,Workflow & Business Processes,positive,Workflow & Business Processes,6.103266492486,keyword_semantic_agree,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.103266492486,0.6098326624814242,HDBSCAN cluster
[PERSON] Hearing/court system capabilities – ability for all parts of ticketing/adjudication process,BAA,BAA Supervisors,meeting_notes,Case Management,positive,Case Management,7.0,keyword,Case Management,1,38,0.6578947368421053,0.6012058570198104,7.0,0.6994334333304161,HDBSCAN cluster
[PERSON] Ability to link cases. Simple things like UI – if BAA inspections were a different color than Codes,BAA,BAA Supervisors,meeting_notes,Case Management,positive,Case Management,12.376308768987656,keyword_semantic_agree,Case Management,1,38,0.6578947368421053,0.6012058570198104,12.376308768987656,1.0,HDBSCAN cluster
If mechanism where Codes inspector would be required to do something within the software maybe they wouldn't need to come every time,BAA,BAA Supervisors,meeting_notes,Case Management,positive,Case Management,2.0,keyword_low,Scheduling & Resource Management,16,28,0.32142857142857145,0.28647586980920314,2.0,0.19983812380869032,HDBSCAN cluster
Codes has started emailing [PERSON] if there's a case they want – deny the referral – if there was something in system so Codes can remove the referral that would be ideal,BAA,BAA Supervisors,meeting_notes,Case Management,positive,Case Management,9.0,keyword,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,9.0,0.8992715571391064,HDBSCAN cluster
Would like to be able to add certain actions:,BAA,BAA Supervisors,meeting_notes,User Experience & Performance,positive,User Experience & Performance,8.0,keyword,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,8.0,0.7993524952347613,HDBSCAN cluster
