focus_group,pain_points,processed_text
DOCE CommercialPermitElectrical Inspectors,Invovled with contractors and subcontracors for new builds,Invovled with contractors and subcontracors for new builds
DOCE CommercialPermitElectrical Inspectors,"Use IPS for jobs that are getting completed, any new jobs in Camino","Use IPS for jobs that are getting completed, any new jobs in Camino"
DOCE CommercialPermitElectrical Inspectors,"At the end fo the – generate paperwork for CO or TCO – final plumbing, HVAC – have done all inspections and are finaled","At the end fo the – generate paperwork for CO or TCO – final plumbing, HVAC – have done all inspections and are finaled"
DOCE CommercialPermitElectrical Inspectors,Uses phone constantly for progress pictures – esp if issues that don’t meet code and may go to legal if not fixed – takes a lot of photos,Uses phone constantly for progress pictures – esp if issues that don’t meet code and may go to legal if not fixed – takes a lot of photos
DOCE CommercialPermitElectrical Inspectors,Residential electrical – previously done by commercial building,Residential electrical – previously done by commercial building
DOCE CommercialPermitElectrical Inspectors,Work directly with Fire department – they work in a different,Work directly with Fire department – they work in a different
DOCE CommercialPermitElectrical Inspectors,Commercial – fire working hand in hand with permit inspections,Commercial – fire working hand in hand with permit inspections
DOCE CommercialPermitElectrical Inspectors,Zoning and DPW to a lesser degree,Zoning and DPW to a lesser degree
DOCE CommercialPermitElectrical Inspectors,Do their 90% of their own scheduling,Do their 90% of their own scheduling
DOCE CommercialPermitElectrical Inspectors,Warmer dryer weather – c,Warmer dryer weather – c
DOCE CommercialPermitElectrical Inspectors,5 inspections in a day,5 inspections in a day
DOCE CommercialPermitElectrical Inspectors,"Check footers, framing, electrical","Check footers, framing, electrical"
DOCE CommercialPermitElectrical Inspectors,Get power turned on,Get power turned on
DOCE CommercialPermitElectrical Inspectors,Building without a permit – initate in IPS,Building without a permit – initate in IPS
DOCE CommercialPermitElectrical Inspectors,Refer to BAA and Law,Refer to BAA and Law
DOCE CommercialPermitElectrical Inspectors,50% of people they write up go BAA/Law,50% of people they write up go BAA/Law
DOCE CommercialPermitElectrical Inspectors,AS400 – checking ownership and activity – don't ask,AS400 – checking ownership and activity – don't ask
DOCE CommercialPermitElectrical Inspectors,Ask clerks for that,Ask clerks for that
DOCE CommercialPermitElectrical Inspectors,"Camino app they just found out about – not great, but better than nothing","Camino app they just found out about – not great, but better than nothing"
DOCE CommercialPermitElectrical Inspectors,Can take photos directly in the app and add them to the case (easier rather than),Can take photos directly in the app and add them to the case (easier rather than)
DOCE CommercialPermitElectrical Inspectors,Do – make their own schedule,Do – make their own schedule
DOCE CommercialPermitElectrical Inspectors,Email crucial to what they do and phone calls,Email crucial to what they do and phone calls
DOCE CommercialPermitElectrical Inspectors,"At one point had IPS tablets – check to see if someone had permits, review permit plans","At one point had IPS tablets – check to see if someone had permits, review permit plans"
DOCE CommercialPermitElectrical Inspectors,For documenting stages of constructions,For documenting stages of constructions
DOCE CommercialPermitElectrical Inspectors,In-field access to everything,In-field access to everything
DOCE CommercialPermitElectrical Inspectors,Verify whether permit was pulled,Verify whether permit was pulled
DOCE CommercialPermitElectrical Inspectors,Technology Camino - no tickle date – if you don’t write down – gets lost,Technology Camino - no tickle date – if you don’t write down – gets lost
DOCE CommercialPermitElectrical Inspectors,Internal due dates – the owner is notified – that's an issue,Internal due dates – the owner is notified – that's an issue
DOCE CommercialPermitElectrical Inspectors,Lack of training with Camino,Lack of training with Camino
DOCE CommercialPermitElectrical Inspectors,IPS better for day-to-day activities – aware of glitches and how to bypass issues,IPS better for day-to-day activities – aware of glitches and how to bypass issues
DOCE CommercialPermitElectrical Inspectors,Format is better,Format is better
DOCE CommercialPermitElectrical Inspectors,Couldn’t do periodic inspections with it,Couldn’t do periodic inspections with it
DOCE CommercialPermitElectrical Inspectors,Told by vendor they could do periodic inspections – but need that support – so if CofC,Told by vendor they could do periodic inspections – but need that support – so if CofC
DOCE CommercialPermitElectrical Inspectors,Camino – can't create anything as a reminder to do something – task management,Camino – can't create anything as a reminder to do something – task management
DOCE CommercialPermitElectrical Inspectors,Going backwards,Going backwards
DOCE CommercialPermitElectrical Inspectors,Building inspectors – down people – 2 people covering the whole city – capacity,Building inspectors – down people – 2 people covering the whole city – capacity
DOCE CommercialPermitElectrical Inspectors,Projects can go on for,Projects can go on for
DOCE CommercialPermitElectrical Inspectors,Residential guys – can be completed in 3 months – a lot more residential work going on day to day,Residential guys – can be completed in 3 months – a lot more residential work going on day to day
DOCE CommercialPermitElectrical Inspectors,System to keep you appraised of that stuff – as good as your input is,System to keep you appraised of that stuff – as good as your input is
DOCE CommercialPermitElectrical Inspectors,Camino not great for applicants as well – easy to add info i.e. enter someone’s license number,Camino not great for applicants as well – easy to add info i.e. enter someone’s license number
DOCE CommercialPermitElectrical Inspectors,Easy to say you’re a license electrician – flawed system from a security perspective,Easy to say you’re a license electrician – flawed system from a security perspective
DOCE CommercialPermitElectrical Inspectors,Up to permitting person to contact inspectors – it's not in front of htem all the time,Up to permitting person to contact inspectors – it's not in front of htem all the time
DOCE CommercialPermitElectrical Inspectors,"There’s a backlog of stuff, especially roofs or driveways, fences – these all go away  - scheduling for final inspection doesn’t happen","There’s a backlog of stuff, especially roofs or driveways, fences – these all go away - scheduling for final inspection doesn’t happen"
DOCE CommercialPermitElectrical Inspectors,They think they’re done when they pulling permit,They think they’re done when they pulling permit
DOCE CommercialPermitElectrical Inspectors,“Impossible Piece of Shit” called it initially – keeps cases in front of them,“Impossible Piece of Shit” called it initially – keeps cases in front of them
DOCE CommercialPermitElectrical Inspectors,Camino is a ghost – things get lost,Camino is a ghost – things get lost
DOCE CommercialPermitElectrical Inspectors,At a property yesterday Terry cited – contractor told address was 423 – entered permit under 419 W Onondaga (says 419 on the building),At a property yesterday Terry cited – contractor told address was 423 – entered permit under 419 W Onondaga (says 419 on the building)
DOCE CommercialPermitElectrical Inspectors,Front and rear,Front and rear
DOCE CommercialPermitElectrical Inspectors,Addressing – ability to see building/mailing addresses in addition to parcel addres,Addressing – ability to see building/mailing addresses in addition to parcel addres
DOCE CommercialPermitElectrical Inspectors,Could pull permit for address not in the city in Camino – checks and balances issues,Could pull permit for address not in the city in Camino – checks and balances issues
DOCE CommercialPermitElectrical Inspectors,Notifications via email but difficult to case management from there,Notifications via email but difficult to case management from there
DOCE CommercialPermitElectrical Inspectors,"No problem with IPS – attachments are easier to see, easier to pull up – fewer issues","No problem with IPS – attachments are easier to see, easier to pull up – fewer issues"
DOCE CommercialPermitElectrical Inspectors,Every other day can’t close completion form because internet issue,Every other day can’t close completion form because internet issue
DOCE CommercialPermitElectrical Inspectors,Not having the ability to timely issue something – not,Not having the ability to timely issue something – not
DOCE CommercialPermitElectrical Inspectors,Can’t print certificates,Can’t print certificates
DOCE CommercialPermitElectrical Inspectors,Integration? Personally feels one system would be good for their work,Integration? Personally feels one system would be good for their work
DOCE CommercialPermitElectrical Inspectors,As far as permits go – they all,As far as permits go – they all
DOCE CommercialPermitElectrical Inspectors,Can’t send letters with Camino or write violations - challenge,Can’t send letters with Camino or write violations - challenge
DOCE CommercialPermitElectrical Inspectors,Since they don’t talk – cross referencing of everything,Since they don’t talk – cross referencing of everything
DOCE CommercialPermitElectrical Inspectors,Clerks have a hard time with Camino,Clerks have a hard time with Camino
DOCE CommercialPermitElectrical Inspectors,Bonus of Camino – supervisors can write,Bonus of Camino – supervisors can write
DOCE CommercialPermitElectrical Inspectors,"All the contractors they know, hald can’t figure out how to use their phones – they're older","All the contractors they know, hald can’t figure out how to use their phones – they're older"
DOCE CommercialPermitElectrical Inspectors,Only ones that check emails – diy owners – contractors think everything is spam,Only ones that check emails – diy owners – contractors think everything is spam
DOCE CommercialPermitElectrical Inspectors,"For HVAC – some are using third party companies for the permitting pulling, scheduling inspections, instead of having the actual company do it","For HVAC – some are using third party companies for the permitting pulling, scheduling inspections, instead of having the actual company do it"
DOCE CommercialPermitElectrical Inspectors,Would be emailing versus communicating via Camino – doesn't really get used though that’s how supervisors sold it (will cut down on communications because you can communicate directly within them),Would be emailing versus communicating via Camino – doesn't really get used though that’s how supervisors sold it (will cut down on communications because you can communicate directly within them)
DOCE CommercialPermitElectrical Inspectors,"IPS – likes the format of it – when things are overdue, they turn red and don’t go away","IPS – likes the format of it – when things are overdue, they turn red and don’t go away"
DOCE CommercialPermitElectrical Inspectors,Likes the uploading of things and being able to see,Likes the uploading of things and being able to see
DOCE CommercialPermitElectrical Inspectors,"Not as tech savvy – miss IPS – likes the tickle date option, have it come back to it","Not as tech savvy – miss IPS – likes the tickle date option, have it come back to it"
DOCE CommercialPermitElectrical Inspectors,They created their own schedules,They created their own schedules
DOCE CommercialPermitElectrical Inspectors,If someone leaves – takes of 200 cases – break them out to 10 a day – schedule it for yourself,If someone leaves – takes of 200 cases – break them out to 10 a day – schedule it for yourself
DOCE CommercialPermitElectrical Inspectors,Duplicates in Camino – adds CofC and,Duplicates in Camino – adds CofC and
DOCE CommercialPermitElectrical Inspectors,Shows up in schedule twice,Shows up in schedule twice
DOCE CommercialPermitElectrical Inspectors,Needs to assign CofC but don’t put their name on it,Needs to assign CofC but don’t put their name on it
DOCE CommercialPermitElectrical Inspectors,There is a tab in Camino to just look at roofs – that is nice,There is a tab in Camino to just look at roofs – that is nice
DOCE CommercialPermitElectrical Inspectors,"Contractors hate Camino, except younger ones that are writing up BS – easy to lie","Contractors hate Camino, except younger ones that are writing up BS – easy to lie"
DOCE CommercialPermitElectrical Inspectors,If Camino has been out for awhile and people are using it – why are there these issues now? You would think,If Camino has been out for awhile and people are using it – why are there these issues now? You would think
DOCE CommercialPermitElectrical Inspectors,NYS we should use this -,NYS we should use this -
DOCE CommercialPermitElectrical Inspectors,If you schedule an inspection in Camino – have to add it to Outlook – no integration with Outlook with either Camino or IPS,If you schedule an inspection in Camino – have to add it to Outlook – no integration with Outlook with either Camino or IPS
DOCE CommercialPermitElectrical Inspectors,Ideally communication between all three would be great,Ideally communication between all three would be great
DOCE CommercialPermitElectrical Inspectors,Permit office could still put permits in IPS like they used to – Permits team likes Camino,Permit office could still put permits in IPS like they used to – Permits team likes Camino
DOCE CommercialPermitElectrical Inspectors,When you issue certificate – instantly notifies them which is a nice feature,When you issue certificate – instantly notifies them which is a nice feature
DOCE CommercialPermitElectrical Inspectors,IPS crashes sometimes – little issues here and there,IPS crashes sometimes – little issues here and there
DOCE CommercialPermitElectrical Inspectors,Camino – not always – haent' been able to print a certicate all week – lots of glitches,Camino – not always – haent' been able to print a certicate all week – lots of glitches
DOCE CommercialPermitElectrical Inspectors,Camino came out of nowhere,Camino came out of nowhere
DOCE CommercialPermitElectrical Inspectors,Doesn’t like RR module in IPS,Doesn’t like RR module in IPS
DOCE CommercialPermitElectrical Inspectors,Likes Dislikes Other Tools,Likes Dislikes Other Tools
DOCE CommercialPermitElectrical Inspectors,Features/capabilities of a new system,Features/capabilities of a new system
DOCE Fire Prevention Bureau,Issues/Frustrations Can group permits using case number in IPS – nice features,Issues/Frustrations Can group permits using case number in IPS – nice features
DOCE Fire Prevention Bureau,Finding associated permits at parcels with 5 stores is nightmare,Finding associated permits at parcels with 5 stores is nightmare
DOCE Fire Prevention Bureau,CO or TCO,CO or TCO
DOCE Fire Prevention Bureau,Camino doesn’t identify which permit goes with which project – may have to review up to 50 different permits,Camino doesn’t identify which permit goes with which project – may have to review up to 50 different permits
DOCE Fire Prevention Bureau,Likes parcel history feature on IPS – takes less time to find cases and review,Likes parcel history feature on IPS – takes less time to find cases and review
DOCE Fire Prevention Bureau,"In IPS you can identify the property, property owner, tax numbers","In IPS you can identify the property, property owner, tax numbers"
DOCE Fire Prevention Bureau,Can use any address you want in Camino,Can use any address you want in Camino
DOCE Fire Prevention Bureau,Suggested improvement,Suggested improvement
DOCE Fire Prevention Bureau,Tools Compliance Engine/Brycer - anything that requires third party report review,Tools Compliance Engine/Brycer - anything that requires third party report review
DOCE Fire Prevention Bureau,"Suppressions systems – sprinklers, special suppression, ancels, canopies for gas stations","Suppressions systems – sprinklers, special suppression, ancels, canopies for gas stations"
DOCE Fire Prevention Bureau,Eventually adding Fire alarms (starting to be in there) not required yet,Eventually adding Fire alarms (starting to be in there) not required yet
DOCE Fire Prevention Bureau,EPR – Electronic Plan Review,EPR – Electronic Plan Review
DOCE Fire Prevention Bureau,Inspectors use a writable PDF inspection form for fire inspection,Inspectors use a writable PDF inspection form for fire inspection
DOCE Fire Prevention Bureau,Technology Likes Can assign Plan Reviewer – shows assignments – can write an update and follow back up on it,Technology Likes Can assign Plan Reviewer – shows assignments – can write an update and follow back up on it
DOCE Fire Prevention Bureau,Dislikes Likes tickle dates – needs to be more pronounced,Dislikes Likes tickle dates – needs to be more pronounced
DOCE Fire Prevention Bureau,Automatically add an assignment would be nice,Automatically add an assignment would be nice
DOCE Fire Prevention Bureau,Cumbersome to add and create,Cumbersome to add and create
DOCE Fire Prevention Bureau,"Too many places to put things in IPS – can add documents in inspection, complaint, parcel","Too many places to put things in IPS – can add documents in inspection, complaint, parcel"
DOCE Fire Prevention Bureau,Actions versus inspections – some people don’t look in both places – pertinent inspection notes,Actions versus inspections – some people don’t look in both places – pertinent inspection notes
DOCE Fire Prevention Bureau,Difficultly for onboarding,Difficultly for onboarding
DOCE Fire Prevention Bureau,Searching for parcels – if you don’t click search inactive – may miss something like resub,Searching for parcels – if you don’t click search inactive – may miss something like resub
DOCE Fire Prevention Bureau,Not cloud based – need to remote in or come in,Not cloud based – need to remote in or come in
DOCE Fire Prevention Bureau,Cloud-based – in-field would make inspections and easier and documented more quickly,Cloud-based – in-field would make inspections and easier and documented more quickly
DOCE Fire Prevention Bureau,Chief: Home inspection software – guides you through the inspection process and all available on the phone,Chief: Home inspection software – guides you through the inspection process and all available on the phone
DOCE Fire Prevention Bureau,Use physical notepad or surface pro – then data entry back in the office,Use physical notepad or surface pro – then data entry back in the office
DOCE Fire Prevention Bureau,Need a data person for Fire,Need a data person for Fire
DOCE Fire Prevention Bureau,Scheduling – having to go into MS Outlook – adding in both places is cumbersome,Scheduling – having to go into MS Outlook – adding in both places is cumbersome
DOCE Fire Prevention Bureau,Capabilities they wish IPS had,Capabilities they wish IPS had
DOCE Fire Prevention Bureau,Anyone else we should speak to?,Anyone else we should speak to?
DOCE Fire Prevention Bureau,"Kelly is a fire inspector, lots of experience, she would prefer to go through her for this part","Kelly is a fire inspector, lots of experience, she would prefer to go through her for this part"
DOCE Housing Inspectors,IPS slow or needs to be rebooted,IPS slow or needs to be rebooted
DOCE Housing Inspectors,"Dan used to work at the county – any case pulled up, would open information scroll of related info","Dan used to work at the county – any case pulled up, would open information scroll of related info"
DOCE Housing Inspectors,"Have to click into 5-6 different cases, which takes time","Have to click into 5-6 different cases, which takes time"
DOCE Housing Inspectors,County – name or address would pull up all info – current owner and tenant,County – name or address would pull up all info – current owner and tenant
DOCE Housing Inspectors,Bad layout,Bad layout
DOCE Housing Inspectors,Would be helpful if click on a case – would be helpful to bring up any open cases,Would be helpful if click on a case – would be helpful to bring up any open cases
DOCE Housing Inspectors,Parkside – brings up many cases,Parkside – brings up many cases
DOCE Housing Inspectors,Would be helpful in specific unit number,Would be helpful in specific unit number
DOCE Housing Inspectors,Lapses – happened more at old building,Lapses – happened more at old building
DOCE Housing Inspectors,"Loading button – IPS spinning – automatically closes out, doesn’t always save","Loading button – IPS spinning – automatically closes out, doesn’t always save"
DOCE Housing Inspectors,Anywhere from 1-2 times a day to a few times a week,Anywhere from 1-2 times a day to a few times a week
DOCE Housing Inspectors,Entering violations – simultaneous entry – asks for violation number – 15 folks doing entry at the same time,Entering violations – simultaneous entry – asks for violation number – 15 folks doing entry at the same time
DOCE Housing Inspectors,Re-enter info when that happens,Re-enter info when that happens
DOCE Housing Inspectors,Doesn’t auto-populate their name in the case – when starting a new case,Doesn’t auto-populate their name in the case – when starting a new case
DOCE Housing Inspectors,"Reduce the drop-down – too many actions, too many names","Reduce the drop-down – too many actions, too many names"
DOCE Housing Inspectors,Could be tailored to just housing inspections,Could be tailored to just housing inspections
DOCE Housing Inspectors,Inspection results – real close in the drop-down menu – can accidentally select another result,Inspection results – real close in the drop-down menu – can accidentally select another result
DOCE Housing Inspectors,Periodic inspection – inspector names not in alphabetical order,Periodic inspection – inspector names not in alphabetical order
DOCE Housing Inspectors,Exterior violations – trash or overgrowth – 10-20 tickets at a time,Exterior violations – trash or overgrowth – 10-20 tickets at a time
DOCE Housing Inspectors,When select OG – entering same info for every case – would be helpful for violation info to populate – seems redudnant to do 20 times,When select OG – entering same info for every case – would be helpful for violation info to populate – seems redudnant to do 20 times
DOCE Housing Inspectors,Would be helpful to populate corrective action,Would be helpful to populate corrective action
DOCE Housing Inspectors,That’s one where violation is always the same and corrective action,That’s one where violation is always the same and corrective action
DOCE Housing Inspectors,Lead map – when doing Rental Registries,Lead map – when doing Rental Registries
DOCE Housing Inspectors,If starting a RR case – somewhere in IPS that indicates high-risk zone – some that get missed or forgets,If starting a RR case – somewhere in IPS that indicates high-risk zone – some that get missed or forgets
DOCE Housing Inspectors,NRSA – alert for cases,NRSA – alert for cases
DOCE Housing Inspectors,Addresses not always updated in all the cases,Addresses not always updated in all the cases
DOCE Housing Inspectors,"If address updated, have to individually update all 3 cases with that owner","If address updated, have to individually update all 3 cases with that owner"
DOCE Housing Inspectors,Global address book,Global address book
DOCE Housing Inspectors,Can cause a delay with BAA if address is not right,Can cause a delay with BAA if address is not right
DOCE Housing Inspectors,Email law for addressing verification,Email law for addressing verification
DOCE Housing Inspectors,Then send to aide to put in AS400,Then send to aide to put in AS400
DOCE Housing Inspectors,Ownership changes – switched in some cases when that happens but not others – old owner getting notices,Ownership changes – switched in some cases when that happens but not others – old owner getting notices
DOCE Housing Inspectors,Universal update of information would be helpful,Universal update of information would be helpful
DOCE Housing Inspectors,Way to organize cases on main IPS screen – they can add tickle date and write a note for next step – no way to access with clicking into the case,Way to organize cases on main IPS screen – they can add tickle date and write a note for next step – no way to access with clicking into the case
DOCE Housing Inspectors,Would be helpful to categorize the follow up,Would be helpful to categorize the follow up
DOCE Housing Inspectors,Organizing those similar tasks – would be helpful to know I have 8 drive bys,Organizing those similar tasks – would be helpful to know I have 8 drive bys
DOCE Housing Inspectors,60 cases some days,60 cases some days
DOCE Housing Inspectors,Don puts his cases into a spreadsheet to organize it,Don puts his cases into a spreadsheet to organize it
DOCE Housing Inspectors,Others don’t typically use Excel independently,Others don’t typically use Excel independently
DOCE Housing Inspectors,Other tools,Other tools
DOCE Housing Inspectors,Notepad for inspection notes – transfer later,Notepad for inspection notes – transfer later
DOCE Housing Inspectors,Use GIS maps,Use GIS maps
DOCE Housing Inspectors,Property lines and getting right address,Property lines and getting right address
DOCE Housing Inspectors,Lead map is helpful,Lead map is helpful
DOCE Housing Inspectors,Look Before You Rent – don’t have access to IPS in the field – look up violations on the fly,Look Before You Rent – don’t have access to IPS in the field – look up violations on the fly
DOCE Housing Inspectors,Use lead map on phone in the field,Use lead map on phone in the field
DOCE Housing Inspectors,Used IPS on tablet once when first started – confusing,Used IPS on tablet once when first started – confusing
DOCE Housing Inspectors,Take a bunch of pictures – use work phone for that,Take a bunch of pictures – use work phone for that
DOCE Housing Inspectors,IPS app was confusing – connection issues as well,IPS app was confusing – connection issues as well
DOCE Housing Inspectors,Had laptop for awhile – very helpful – connection issues with that as well – difficulty logging in,Had laptop for awhile – very helpful – connection issues with that as well – difficulty logging in
DOCE Housing Inspectors,Would save hours to be able to do it in the field,Would save hours to be able to do it in the field
DOCE Housing Inspectors,Technology Likes/Dislikes IPS – thinks it’s a good system and user friendly generally – freezing is an issue,Technology Likes/Dislikes IPS – thinks it’s a good system and user friendly generally – freezing is an issue
DOCE Housing Inspectors,Rental Registry PI module – would be helpful if streamlined and not two separate things,Rental Registry PI module – would be helpful if streamlined and not two separate things
DOCE Housing Inspectors,RR module - pass/fail,RR module - pass/fail
DOCE Housing Inspectors,If there is a violation – enter into complaint module,If there is a violation – enter into complaint module
DOCE Housing Inspectors,Would be helpful to have it all in one,Would be helpful to have it all in one
DOCE Housing Inspectors,Dan will p,Dan will p
DOCE Housing Inspectors,Anthony just checks for RR inspector case – Dan switches case to Anthony when complete and he finds,Anthony just checks for RR inspector case – Dan switches case to Anthony when complete and he finds
DOCE Office Staff,Missing information:,Missing information:
DOCE Office Staff,"Parcel has owner and PM. For some parcels, a PM or agent in the parcel, but not generated in new cases – have to add manually and sometimes inspectors don’t know to do that, then don’t have local contact to send","Parcel has owner and PM. For some parcels, a PM or agent in the parcel, but not generated in new cases – have to add manually and sometimes inspectors don’t know to do that, then don’t have local contact to send"
DOCE Office Staff,Improvement: Ensure PM or agent generated in new cases*,Improvement: Ensure PM or agent generated in new cases*
DOCE Office Staff,When inspectors refer to BAA – certain things that make it so the referral won’t count,When inspectors refer to BAA – certain things that make it so the referral won’t count
DOCE Office Staff,"Under approvals tab – generates DOCE to BAA only works if Dept and case type, case status *CofC cases don’t trigger BAA referral workflows","Under approvals tab – generates DOCE to BAA only works if Dept and case type, case status *CofC cases don’t trigger BAA referral workflows"
DOCE Office Staff,Sanitation notice bar in print queue – 2500 letters – number never changes – can't view anything in it,Sanitation notice bar in print queue – 2500 letters – number never changes – can't view anything in it
DOCE Office Staff,"If you accidentally click it, it crashes","If you accidentally click it, it crashes"
DOCE Office Staff,When you try to remove all it just spins and never loads *submit IT ticket,When you try to remove all it just spins and never loads *submit IT ticket
DOCE Office Staff,Update addresses in IPS – need to click on contact to see updated address -,Update addresses in IPS – need to click on contact to see updated address -
DOCE Office Staff,Click on contact to see updated addresses to property print,Click on contact to see updated addresses to property print
DOCE Office Staff,Would be nice to see previous addresses,Would be nice to see previous addresses
DOCE Office Staff,Address book – 4 addresses under one owner – if corrected,Address book – 4 addresses under one owner – if corrected
DOCE Office Staff,Address book: can have 15 different options for one contact – very little validation,Address book: can have 15 different options for one contact – very little validation
DOCE Office Staff,Parcel addresses – assessment overwrite is not helpful for addressing purposes – can see previous attempts to correct/update on the parcel,Parcel addresses – assessment overwrite is not helpful for addressing purposes – can see previous attempts to correct/update on the parcel
DOCE Office Staff,BAA tickets – manual process to write up in word,BAA tickets – manual process to write up in word
DOCE Office Staff,Particular about – they need dispute information – don't like when tickets are 5 pages long,Particular about – they need dispute information – don't like when tickets are 5 pages long
DOCE Office Staff,Test setting up BAA ticket as template notice*,Test setting up BAA ticket as template notice*
DOCE Office Staff,"has seen up to 90 violations on a case – can take 2 hours, volume of referrals has only gone up","has seen up to 90 violations on a case – can take 2 hours, volume of referrals has only gone up"
DOCE Office Staff,Technology Likes Search by complaint number,Technology Likes Search by complaint number
DOCE Office Staff,Would be nice to be able to search by violation number,Would be nice to be able to search by violation number
DOCE Office Staff,Sometimes people,Sometimes people
DOCE Office Staff,Address book works well for updating ownership – can use to see if owner has more than 1 contact in IPS so you can update the all simultaneously,Address book works well for updating ownership – can use to see if owner has more than 1 contact in IPS so you can update the all simultaneously
DOCE Office Staff,"Print queue – likes the organization of it, splits up all notices – tells notices of number of that need to be printed","Print queue – likes the organization of it, splits up all notices – tells notices of number of that need to be printed"
DOCE Office Staff,Dislikes Address book can also be flooded with duplicate contacts with same information – ability to merge contacts would be nice,Dislikes Address book can also be flooded with duplicate contacts with same information – ability to merge contacts would be nice
DOCE Office Staff,Have to update the lot to make sure everything is updated correctly,Have to update the lot to make sure everything is updated correctly
DOCE Office Staff,"If address has a range e.g. 209-12 Milton – if sometimes says 207 Milton, have to know assessed address to find it – won't pop up if within range","If address has a range e.g. 209-12 Milton – if sometimes says 207 Milton, have to know assessed address to find it – won't pop up if within range"
DOCE Office Staff,Martin Luthr spelling without an “e”,Martin Luthr spelling without an “e”
DOCE Office Staff,Workaround – county map will put you onto the address based on search and will show you parcel/assessed address,Workaround – county map will put you onto the address based on search and will show you parcel/assessed address
DOCE Office Staff,"If IPS open too long, it crashes – usually has to restart IPS 3x per day","If IPS open too long, it crashes – usually has to restart IPS 3x per day"
DOCE Office Staff,Especially if so many cases,Especially if so many cases
DOCE Office Staff,Sometimes if print queue open all day – session has “expired” - reaches it limit,Sometimes if print queue open all day – session has “expired” - reaches it limit
DOCE Office Staff,BAA Uses WestLaw to search – sometimes their service address – inspectors have to scroll through actions to see that,BAA Uses WestLaw to search – sometimes their service address – inspectors have to scroll through actions to see that
DOCE Office Staff,BAA doesn’t input info into contacts – they now have a service address option,BAA doesn’t input info into contacts – they now have a service address option
DOCE Office Staff,BAA very behing right now – causes CE to be behind on writing tickets,BAA very behing right now – causes CE to be behind on writing tickets
DOCE Office Staff,Add mailing info for cert mail to show proof that case is closed,Add mailing info for cert mail to show proof that case is closed
DOCE Office Staff,Inspector complaint for BAA – length it takes to complete the BAA process,Inspector complaint for BAA – length it takes to complete the BAA process
DOCE Office Staff,"Property cited June 1 ,warning letter 14, referred end of June – BAA not done until end of Sept – have to wait until next spring to do the process again","Property cited June 1 ,warning letter 14, referred end of June – BAA not done until end of Sept – have to wait until next spring to do the process again"
DOCE Office Staff,Not much communication between BAA i.e. updates about where they’re at/in the dark,Not much communication between BAA i.e. updates about where they’re at/in the dark
DOCE Office Staff,Capacity thing,Capacity thing
DOCE Office Staff,Communication between BAA and inspectors happens between IPS – BAA leaves inspectors in the dark – more communication would b helpful –  could be helpful for IPS to generate summary about BAA actions/process updates,Communication between BAA and inspectors happens between IPS – BAA leaves inspectors in the dark – more communication would b helpful – could be helpful for IPS to generate summary about BAA actions/process updates
DOCE Office Staff,I.e. generate email when BAA ticket denied,I.e. generate email when BAA ticket denied
DOCE Office Staff,Option for action update to inspector – to automatically email inspectors,Option for action update to inspector – to automatically email inspectors
DOCE Office Staff,Inspectors set tickle dates to follow back up on the case,Inspectors set tickle dates to follow back up on the case
DOCE Office Staff,Not in Camino very much – sometimes check on if question that comes in through CE email e.g. HHQ quesiton about status,Not in Camino very much – sometimes check on if question that comes in through CE email e.g. HHQ quesiton about status
DOCE Office Staff,Or if in Camino – Katelynn will process CofOs,Or if in Camino – Katelynn will process CofOs
DOCE Office Staff,Adds copy into Camino,Adds copy into Camino
DOCE Supervisors,Arborist emailed about a property – not a good address,Arborist emailed about a property – not a good address
DOCE Supervisors,New garage,New garage
DOCE Supervisors,Resubdivided – looking at new resubbed address – doesn't see anything – a deactivated parcel – had to figure it out – took 20 min to figure out it’s resubbed,Resubdivided – looking at new resubbed address – doesn't see anything – a deactivated parcel – had to figure it out – took 20 min to figure out it’s resubbed
DOCE Supervisors,Generally finding something,Generally finding something
DOCE Supervisors,Identified missed permit assignment – need to put in tickle date,Identified missed permit assignment – need to put in tickle date
DOCE Supervisors,"If re-inspection gets missed, 100s of cases to manage – happens a lot – gets lost","If re-inspection gets missed, 100s of cases to manage – happens a lot – gets lost"
DOCE Supervisors,Working hard to get entry in – it gets missed,Working hard to get entry in – it gets missed
DOCE Supervisors,Or simple as not putting yourself in the inspection,Or simple as not putting yourself in the inspection
DOCE Supervisors,Not a back-up for human error,Not a back-up for human error
DOCE Supervisors,Flag if no activity in a month,Flag if no activity in a month
DOCE Supervisors,Older system – missed assignment run – could run for individual inspectors – id which don’t have dates assigned,Older system – missed assignment run – could run for individual inspectors – id which don’t have dates assigned
DOCE Supervisors,Broad range of issues - some inspectors struggle a lot more than others,Broad range of issues - some inspectors struggle a lot more than others
DOCE Supervisors,Such a large volume to review – hours to review – keeps happening,Such a large volume to review – hours to review – keeps happening
DOCE Supervisors,Jake: Larger issue,Jake: Larger issue
DOCE Supervisors,Missed case management from beginning of IPS until today – parcel history,Missed case management from beginning of IPS until today – parcel history
DOCE Supervisors,Closing older cases – case clean up needed,Closing older cases – case clean up needed
DOCE Supervisors,"Open cases from staff that don’t work here anymore, open cases from fire department","Open cases from staff that don’t work here anymore, open cases from fire department"
DOCE Supervisors,Screwed if we get audited,Screwed if we get audited
